PDB_ID,Resolution,Method,Ab_type,Deposit_date,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ag_type(s),Affinity_KD(nM),Kd_nM_parsed,pKd,affinity_is_limit,Affinity_method,Affinity_temp(K),PMID,DOI
6ztr,2.1,x-ray diffraction,FabH:FabL,2020-07-20,A,B,J,protein,33,33.0,7.481486060122113,False,SPR,N.A.,33879555,10.1158/1535-7163.MCT-20-0708
6zxn,2.93,electron microscopy,VHH,2020-07-30,F,N.A.,C,protein,9,9.0,8.045757490560675,False,ITC,N.A.,32887876,10.1038/s41467-020-18174-5
6zxn,2.93,electron microscopy,VHH,2020-07-30,D,N.A.,A,protein,9,9.0,8.045757490560675,False,ITC,N.A.,32887876,10.1038/s41467-020-18174-5
6zxn,2.93,electron microscopy,VHH,2020-07-30,E,N.A.,B,protein,9,9.0,8.045757490560675,False,ITC,N.A.,32887876,10.1038/s41467-020-18174-5
7a29,2.94,electron microscopy,VH,2020-08-16,F,N.A.,C,protein,10.6,10.6,7.97469413473523,False,BLI,295,33149112,10.1038/s41467-020-19204-y
7a29,2.94,electron microscopy,VH,2020-08-16,D,N.A.,A,protein,10.6,10.6,7.97469413473523,False,BLI,295,33149112,10.1038/s41467-020-19204-y
7a29,2.94,electron microscopy,VH,2020-08-16,E,N.A.,B,protein,10.6,10.6,7.97469413473523,False,BLI,295,33149112,10.1038/s41467-020-19204-y
7a3n,2.1,x-ray diffraction,FabH:FabL,2020-08-18,H,L,A,protein,16.2,16.2,7.790484985457369,False,BLI,298,34852239,10.1016/j.cell.2021.11.010
7a6o,2.12,x-ray diffraction,VHH,2020-08-25,B,N.A.,A,protein,91.6,91.6,7.03810452633215,False,BLI,296,33883551,10.1038/s41467-021-22634-x
7amp,2.64,x-ray diffraction,FabH:FabL,2020-10-09,H,L,B,protein,2.57,2.57,8.590066876668706,False,SPR,298,N.A.,10.21203/rs.3.rs-1475171/v1
7amq,2.35,x-ray diffraction,FabH:FabL,2020-10-09,H,L,B,protein,12900,12900.0,4.889410289700751,False,SPR,N.A.,N.A.,10.21203/rs.3.rs-1475171/v1
7amr,1.95,x-ray diffraction,FabH:FabL,2020-10-09,H,L,B,protein,1960,1960.0,5.707743928643524,False,SPR,298,N.A.,10.21203/rs.3.rs-1475171/v1
7ams,2.42,x-ray diffraction,FabH:FabL,2020-10-09,H,L,B,protein,479,479.0,6.319664486585437,False,SPR,298,N.A.,10.21203/rs.3.rs-1475171/v1
7anq,2.2,x-ray diffraction,VHH,2020-10-12,B,N.A.,A,protein,5.56,5.56,8.254925208417943,False,BLI,N.A.,36566984,10.1016/j.molmet.2022.101662
7apj,2.05,x-ray diffraction,VHH,2020-10-16,B,N.A.,A,protein,16.5,16.5,7.782516055786094,False,SPR,N.A.,34385319,10.1073/pnas.2101496118
7b18,2.62,electron microscopy,VHH,2020-11-24,I,N.A.,C,protein,8.92,8.92,8.049635145623878,False,SPR,298,33436526,10.1126/science.abe6230
7b18,2.62,electron microscopy,VHH,2020-11-24,G,N.A.,B,protein,8.92,8.92,8.049635145623878,False,SPR,298,33436526,10.1126/science.abe6230
7b18,2.62,electron microscopy,VHH,2020-11-24,E,N.A.,A,protein,8.92,8.92,8.049635145623878,False,SPR,298,33436526,10.1126/science.abe6230
7b18,2.62,electron microscopy,VHH,2020-11-24,H,N.A.,C,protein,1.86,1.86,8.730487055782083,False,SPR,298,33436526,10.1126/science.abe6230
7b18,2.62,electron microscopy,VHH,2020-11-24,F,N.A.,B,protein,1.86,1.86,8.730487055782083,False,SPR,298,33436526,10.1126/science.abe6230
7b18,2.62,electron microscopy,VHH,2020-11-24,D,N.A.,A,protein,1.86,1.86,8.730487055782083,False,SPR,298,33436526,10.1126/science.abe6230
7b27,2.9,x-ray diffraction,VHH,2020-11-26,C,N.A.,A,protein,8.23,8.23,8.08460016478773,False,BLI,N.A.,33904225,10.15252/embr.202052325
7b27,2.9,x-ray diffraction,VHH,2020-11-26,D,N.A.,B,protein,8.23,8.23,8.08460016478773,False,BLI,N.A.,33904225,10.15252/embr.202052325
7b5g,2.4,x-ray diffraction,VHH,2020-12-03,B,N.A.,A,protein,40,40.0,7.3979400086720375,False,fluorescence polarization,303,36240773,10.1016/j.str.2022.09.004
7b5g,2.4,x-ray diffraction,VHH,2020-12-03,D,N.A.,C,protein,40,40.0,7.3979400086720375,False,fluorescence polarization,303,36240773,10.1016/j.str.2022.09.004
7b5g,2.4,x-ray diffraction,VHH,2020-12-03,F,N.A.,E,protein,40,40.0,7.3979400086720375,False,fluorescence polarization,303,36240773,10.1016/j.str.2022.09.004
7b5g,2.4,x-ray diffraction,VHH,2020-12-03,H,N.A.,G,protein,40,40.0,7.3979400086720375,False,fluorescence polarization,303,36240773,10.1016/j.str.2022.09.004
7bbj,2.72,x-ray diffraction,FabH:FabL,2020-12-17,M,N,B,protein,0.074,0.074,10.130768280269024,False,N.A.,N.A.,34482286,10.1158/1535-7163.MCT-21-0107
7bbj,2.72,x-ray diffraction,FabH:FabL,2020-12-17,H,L,A,protein,0.074,0.074,10.130768280269024,False,N.A.,N.A.,34482286,10.1158/1535-7163.MCT-21-0107
7beh,2.3,x-ray diffraction,FabH:FabL,2020-12-23,H,L,E,protein,2,2.0,8.698970004336019,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bei,2.3,x-ray diffraction,FabH:FabL,2020-12-23,H,L,E,protein,0.9,0.9,9.045757490560675,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bej,2.42,x-ray diffraction,FabH:FabL,2020-12-23,H,L,E,protein,0.7,0.7,9.154901959985743,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bek,2.04,x-ray diffraction,FabH:FabL,2020-12-23,H,L,E,protein,0.7,0.7,9.154901959985743,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bel,2.53,x-ray diffraction,FabH:FabL,2020-12-23,A,B,R,protein,5.9,5.9,8.229147988357855,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bel,2.53,x-ray diffraction,FabH:FabL,2020-12-23,C,D,X,protein,5.9,5.9,8.229147988357855,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bel,2.53,x-ray diffraction,VH:VL,2020-12-23,H,L,R,protein,1.2,1.2,8.920818753952375,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bel,2.53,x-ray diffraction,VH:VL,2020-12-23,E,F,X,protein,1.2,1.2,8.920818753952375,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bem,2.52,x-ray diffraction,VH:VL,2020-12-24,H,L,E,protein,2.2,2.2,8.657577319177793,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7ben,2.5,x-ray diffraction,FabH:FabL,2020-12-24,H,L,E,protein,4.5,4.5,8.346787486224656,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7ben,2.5,x-ray diffraction,FabH:FabL,2020-12-24,D,F,C,protein,4.5,4.5,8.346787486224656,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bep,2.61,x-ray diffraction,FabH:FabL,2020-12-24,D,F,C,protein,2.7,2.7,8.568636235841012,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bep,2.61,x-ray diffraction,FabH:FabL,2020-12-24,A,B,E,protein,2.7,2.7,8.568636235841012,False,BLI,N.A.,33756110,10.1016/j.cell.2021.02.032
7bnv,2.35,x-ray diffraction,FabH:FabL,2021-01-22,H,L,A,protein,3.4,3.4,8.468521082957745,False,SPR,298,34211469,10.3389/fimmu.2021.678570
7bsc,2.31,x-ray diffraction,FabH:FabL,2020-03-30,H,L,A,protein,0.1,0.1,10.0,False,SPR,N.A.,33414219,10.1126/science.abb9425
7bsd,2.53,x-ray diffraction,FabH:FabL,2020-03-30,A,B,G,protein,0.24,0.24,9.619788758288394,False,SPR,N.A.,33414219,10.1126/science.abb9425
7bsd,2.53,x-ray diffraction,FabH:FabL,2020-03-30,H,L,I,protein,0.24,0.24,9.619788758288394,False,SPR,N.A.,33414219,10.1126/science.abb9425
7bwj,2.85,x-ray diffraction,FabH:FabL,2020-04-14,H,L,E,protein,5.14,5.14,8.289036881004725,False,SPR,N.A.,32454513,10.1038/s41586-020-2380-z
7bz5,1.84,x-ray diffraction,FabH:FabL,2020-04-26,H,L,A,protein,70.1,70.1,7.154281982033341,False,SPR,298,32404477,10.1126/science.abc2241
7c01,2.88,x-ray diffraction,FabH:FabL,2020-04-29,C,D,B,protein,2.49,2.49,8.603800652904264,False,SPR,N.A.,32454512,10.1038/s41586-020-2381-y
7c01,2.88,x-ray diffraction,FabH:FabL,2020-04-29,H,L,A,protein,2.49,2.49,8.603800652904264,False,SPR,N.A.,32454512,10.1038/s41586-020-2381-y
7c88,2.0,x-ray diffraction,FabH:FabL,2020-05-29,A,B,C,protein,0.288,0.288,9.540607512240769,False,SPR,N.A.,32839442,10.1038/s41392-020-00254-z
7c88,2.0,x-ray diffraction,FabH:FabL,2020-05-29,H,L,M,protein,0.288,0.288,9.540607512240769,False,SPR,N.A.,32839442,10.1038/s41392-020-00254-z
7c8v,2.15,x-ray diffraction,VHH,2020-06-03,A,N.A.,B,protein,14.5,14.5,7.838631997765025,False,BLI,303,34330908,10.1038/s41467-021-24905-z
7c8w,2.77,x-ray diffraction,VHH,2020-06-03,A,N.A.,B,protein,83.7,83.7,7.07727454200674,False,BLI,303,34330908,10.1038/s41467-021-24905-z
7can,2.94,x-ray diffraction,VH,2020-06-09,A,N.A.,B,protein,33,33.0,7.481486060122113,False,BLI,303,34330908,10.1038/s41467-021-24905-z
7cdi,2.96,x-ray diffraction,FabH:FabL,2020-06-19,H,L,E,protein,1.72,1.72,8.76447155309245,False,SPR,N.A.,33431856,10.1038/s41467-020-20501-9
7ce2,2.01,x-ray diffraction,FabH:FabL,2020-06-21,Z,B,A,protein,0.32,0.32,9.494850021680094,False,SPR,298,33951441,10.1016/j.celrep.2021.109070
7ceb,2.89,x-ray diffraction,VH+:VL,2020-06-22,C,D,B,protein,0.2,0.2,9.698970004336019,False,flow cytometry,298,34188035,10.1038/s41467-021-24184-8
7ch5,2.7,x-ray diffraction,FabH:FabL,2020-07-05,H,L,R,protein,0.78,0.78,9.10790539730952,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7chb,2.4,x-ray diffraction,FabH:FabL,2020-07-05,H,L,R,protein,2.8,2.8,8.55284196865778,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7chc,2.71,x-ray diffraction,FabH:FabL,2020-07-05,A,B,R,protein,0.54,0.54,9.267606240177031,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7chc,2.71,x-ray diffraction,FabH:FabL,2020-07-05,H,L,R,protein,0.78,0.78,9.10790539730952,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7chf,2.67,x-ray diffraction,FabH:FabL,2020-07-05,A,B,R,protein,0.54,0.54,9.267606240177031,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7chf,2.67,x-ray diffraction,FabH:FabL,2020-07-05,H,L,R,protein,0.18,0.18,9.744727494896694,False,SPR,N.A.,32970990,10.1016/j.cell.2020.09.035
7cho,2.56,x-ray diffraction,FabH:FabL,2020-07-06,B,C,A,protein,14.02,14.02,7.853251986369361,False,SPR,N.A.,34244522,10.1038/s41467-021-24514-w
7cho,2.56,x-ray diffraction,FabH:FabL,2020-07-06,H,L,E,protein,14.02,14.02,7.853251986369361,False,SPR,N.A.,34244522,10.1038/s41467-021-24514-w
7chp,2.36,x-ray diffraction,FabH:FabL,2020-07-06,H,L,E,protein,1.3,1.3,8.886056647693163,False,SPR,N.A.,34244522,10.1038/s41467-021-24514-w
7chs,2.4,x-ray diffraction,FabH:FabL,2020-07-06,H,L,E,protein,5.79,5.79,8.237321436272564,False,SPR,N.A.,34244522,10.1038/s41467-021-24514-w
7chy,2.65,x-ray diffraction,FabH:FabL,2020-07-06,H,L,I,protein,28.9,28.9,7.539102157243452,False,SPR,298,33359099,10.1016/j.jmb.2020.166766
7chz,2.5,x-ray diffraction,FabH:FabL,2020-07-06,H,L,I,protein,0.645,0.645,9.190440285364732,False,SPR,298,33359099,10.1016/j.jmb.2020.166766
7cjf,2.11,x-ray diffraction,FabH:FabL,2020-07-10,A,B,C,protein,0.102,0.102,9.991399828238082,False,SPR,N.A.,33976198,10.1038/s41467-021-22926-2
7cm4,2.71,x-ray diffraction,FabH:FabL,2020-07-24,H,L,A,protein,0.027,0.027,10.568636235841012,False,SPR,N.A.,33436577,10.1038/s41467-020-20602-5
7cr5,2.08,x-ray diffraction,FabH:FabL,2020-08-12,H,L,A,protein,1.02,1.02,8.991399828238082,False,SPR,298,33976229,10.1038/s41467-021-23036-9
7cu5,2.81,x-ray diffraction,VHVL:VHVL,2020-08-21,A,B,E;Q,protein;protein,5.92,5.92,8.22767829327708,False,SPR,310,33063473,10.15252/embr.202051444
7czd,1.64,x-ray diffraction,VHH,2020-09-08,A,N.A.,B;D,protein;protein,1.6,1.6,8.795880017344075,False,BLI,N.A.,34172514,10.1136/jitc-2020-002131
7czd,1.64,x-ray diffraction,VHH,2020-09-08,C,N.A.,D,protein,1.6,1.6,8.795880017344075,False,BLI,N.A.,34172514,10.1136/jitc-2020-002131
7czp,3.0,electron microscopy,FabH:FabL,2020-09-09,H,L,A,protein,26.97,26.97,7.569119053547109,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czp,3.0,electron microscopy,FabH:FabL,2020-09-09,J,N,C,protein,26.97,26.97,7.569119053547109,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czq,2.8,electron microscopy,FabH:FabL,2020-09-09,H,K,A,protein,50.77,50.77,7.294392836595395,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czq,2.8,electron microscopy,FabH:FabL,2020-09-09,J,N,C,protein,50.77,50.77,7.294392836595395,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czt,2.7,electron microscopy,FabH:FabL,2020-09-09,I,M,C,protein,6.98,6.98,8.156144577376839,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czt,2.7,electron microscopy,FabH:FabL,2020-09-09,H,L,A,protein,6.98,6.98,8.156144577376839,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czw,2.8,electron microscopy,FabH:FabL,2020-09-09,H,L,A,protein,3.55,3.55,8.449771646944907,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czw,2.8,electron microscopy,FabH:FabL,2020-09-09,J,N,C,protein,3.55,3.55,8.449771646944907,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czx,2.8,electron microscopy,FabH:FabL,2020-09-09,H,K,A,protein,0.75,0.75,9.1249387366083,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czx,2.8,electron microscopy,FabH:FabL,2020-09-09,J,N,A;C,protein;protein,0.75,0.75,9.1249387366083,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7czx,2.8,electron microscopy,FabH:FabL,2020-09-09,I,M,B,protein,0.75,0.75,9.1249387366083,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7d00,3.0,electron microscopy,FabH:FabL,2020-09-09,H,K,A,protein,6.98,6.98,8.156144577376839,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7d00,3.0,electron microscopy,FabH:FabL,2020-09-09,J,N,C,protein,6.98,6.98,8.156144577376839,False,SPR,N.A.,33731853,10.1038/s41422-021-00487-9
7d2z,1.97,x-ray diffraction,VH,2020-09-17,A,N.A.,B,protein,5.6,5.6,8.2518119729938,False,BLI,303,33657135,10.1371/journal.ppat.1009328
7d6y,1.67,x-ray diffraction,VH,2020-10-02,B,N.A.,A,protein,154.3,154.3,6.811634073936852,False,SPR,N.A.,N.A.,N.A.
7d85,2.5,x-ray diffraction,FabH:FabL,2020-10-07,E,F,D,protein,<0.075,0.075,10.1249387366083,True,SPR,N.A.,33782100,10.1158/1535-7163.MCT-20-0907
7d85,2.5,x-ray diffraction,FabH:FabL,2020-10-07,B,C,A,protein,<0.075,0.075,10.1249387366083,True,SPR,N.A.,33782100,10.1158/1535-7163.MCT-20-0907
7d8b,2.46,x-ray diffraction,VH,2020-10-07,B,N.A.,A,protein,0.057,0.057,10.244125144327509,False,SPR,N.A.,35982046,10.1038/s41467-022-32463-1
7d8b,2.46,x-ray diffraction,VH,2020-10-07,D,N.A.,C,protein,0.057,0.057,10.244125144327509,False,SPR,N.A.,35982046,10.1038/s41467-022-32463-1
7dc8,2.76,x-ray diffraction,FabH:FabL,2020-10-23,B,A,C,protein,48,48.0,7.318758762624412,False,SPR,310,33357423,10.1016/j.celrep.2020.108542
7dc8,2.76,x-ray diffraction,FabH:FabL,2020-10-23,E,D,F,protein,48,48.0,7.318758762624412,False,SPR,310,33357423,10.1016/j.celrep.2020.108542
7deo,2.5,x-ray diffraction,scFv,2020-11-04,A,N.A.,B,protein,2.33,2.33,8.63264407897398,False,BLI,N.A.,33961621,10.1371/journal.pbio.3001209
7deo,2.5,x-ray diffraction,scFv,2020-11-04,C,N.A.,D,protein,2.33,2.33,8.63264407897398,False,BLI,N.A.,33961621,10.1371/journal.pbio.3001209
7det,2.2,x-ray diffraction,scFv,2020-11-05,B,N.A.,A,protein,0.0507,0.0507,10.294992040666664,False,BLI,N.A.,33961621,10.1371/journal.pbio.3001209
7det,2.2,x-ray diffraction,scFv,2020-11-05,D,N.A.,C,protein,0.0507,0.0507,10.294992040666664,False,BLI,N.A.,33961621,10.1371/journal.pbio.3001209
7deu,2.1,x-ray diffraction,scFv,2020-11-05,B,N.A.,A,protein,<0.001,0.001,12.0,True,BLI,N.A.,33961621,10.1371/journal.pbio.3001209
7df1,2.81,x-ray diffraction,VH:VL,2020-11-06,G,K,D,protein,58.2,58.2,7.235077015350112,False,SPR,N.A.,36424464,10.1038/s41551-022-00956-5
7df1,2.81,x-ray diffraction,VH:VL,2020-11-06,F,J,C,protein,58.2,58.2,7.235077015350112,False,SPR,N.A.,36424464,10.1038/s41551-022-00956-5
7dha,2.55,x-ray diffraction,FabH:FabL,2020-11-13,C,B,A,protein,4.36,4.36,8.360513510731414,False,SPR,N.A.,33360095,10.1016/j.bbrc.2020.12.048
7dm1,2.1,x-ray diffraction,FabH:FabL,2020-12-01,D,C,A,protein,1.44,1.44,8.84163750790475,False,SPR,298,33504803,10.1038/s41467-021-20930-0
7dm1,2.1,x-ray diffraction,FabH:FabL,2020-12-01,F,E,B,protein,1.44,1.44,8.84163750790475,False,SPR,298,33504803,10.1038/s41467-021-20930-0
7dm2,2.4,x-ray diffraction,FabH:FabL,2020-12-01,H,L,A,protein,1.34,1.34,8.872895201635192,False,SPR,298,33504803,10.1038/s41467-021-20930-0
7dr4,2.49,x-ray diffraction,FabH:FabL,2020-12-25,A,B,G;J,protein;protein,0.0811,0.0811,10.090979145788843,False,SPR,N.A.,33796411,10.1080/2162402X.2021.1899671
7dr4,2.49,x-ray diffraction,FabH:FabL,2020-12-25,H,L,I;K,protein;protein,0.0811,0.0811,10.090979145788843,False,SPR,N.A.,33796411,10.1080/2162402X.2021.1899671
7dv4,2.38,x-ray diffraction,VH,2021-01-12,D,N.A.,C,protein,0.0428,0.0428,10.368556230986828,False,BLI,N.A.,35925889,10.1073/pnas.2200879119
7dv4,2.38,x-ray diffraction,VH,2021-01-12,F,N.A.,C;E,protein;protein,0.0428,0.0428,10.368556230986828,False,BLI,N.A.,35925889,10.1073/pnas.2200879119
7dv4,2.38,x-ray diffraction,VH,2021-01-12,B,N.A.,A,protein,0.0428,0.0428,10.368556230986828,False,BLI,N.A.,35925889,10.1073/pnas.2200879119
7dv4,2.38,x-ray diffraction,VH,2021-01-12,H,N.A.,A;G,protein;protein,0.0428,0.0428,10.368556230986828,False,BLI,N.A.,35925889,10.1073/pnas.2200879119
7e3o,2.51,x-ray diffraction,FabH:FabL,2021-02-09,H,L,R,protein,8.02,8.02,8.095825631715837,False,SPR,298,34643438,10.1128/Spectrum.01352-21
7e53,2.21,x-ray diffraction,VHH,2021-02-16,B,N.A.,A,protein,15.8,15.8,7.801342913045578,False,ITC,293,34098312,10.1016/j.bbrc.2021.05.089
7e5o,2.8,x-ray diffraction,FabH:FabL,2021-02-19,H,L,A,protein,1.2,1.2,8.920818753952375,False,BLI,303,34508662,10.1016/j.immuni.2021.08.025
7e8m,2.09,x-ray diffraction,FabH:FabL,2021-03-02,H,L,E,protein,21.9,21.9,7.6595558851598815,False,SPR,291,34166623,10.1016/j.immuni.2021.06.003
7e9b,1.78,x-ray diffraction,FabH:FabL,2021-03-04,H,L,C,protein,2.42,2.42,8.616184634019568,False,BLI,298,34972111,10.1371/journal.pone.0257972
7eam,1.4,x-ray diffraction,FabH:FabL,2021-03-07,H,L,A,protein,0.003,0.003,11.522878745280337,False,SPR,N.A.,N.A.,10.1038/s41467-021-25997-3
7eam,1.4,x-ray diffraction,FabH:FabL,2021-03-07,C,D,B,protein,0.003,0.003,11.522878745280337,False,SPR,N.A.,N.A.,10.1038/s41467-021-25997-3
7ean,1.91,x-ray diffraction,FabH:FabL,2021-03-07,H,L,A,protein,0.01,0.01,11.0,False,SPR,N.A.,34580306,10.1038/s41467-021-25997-3
7ek0,2.7,x-ray diffraction,FabH:FabL,2021-04-03,H,L,R,protein,2.23,2.23,8.651695136951838,False,SPR,N.A.,34480123,10.1038/s41422-021-00554-1
7enf,2.76,electron microscopy,FabH:FabL,2021-04-16,P,O,B,protein,10.9,10.9,7.962573502059376,False,SPR,298,N.A.,10.1038/s41392-022-00954-8
7eow,1.6,x-ray diffraction,VH,2021-04-23,B,N.A.,A,protein,4.4,4.4,8.356547323513812,False,N.A.,N.A.,34144500,10.1016/j.bbrc.2021.06.030
7epx,3.0,electron microscopy,FabH:FabL,2021-04-28,H,L,A,protein,0.65,0.65,9.187086643357144,False,BLI,303,35443747,10.1038/s41421-022-00401-6
7epx,3.0,electron microscopy,FabH:FabL,2021-04-28,I,M,B,protein,0.65,0.65,9.187086643357144,False,BLI,303,35443747,10.1038/s41421-022-00401-6
7f5g,1.75,x-ray diffraction,VHH,2021-06-22,B,N.A.,A,protein,0.25,0.25,9.602059991327963,False,BLI,N.A.,35460753,10.1016/j.ijbiomac.2022.04.096
7f5g,1.75,x-ray diffraction,VHH,2021-06-22,D,N.A.,C,protein,0.25,0.25,9.602059991327963,False,BLI,N.A.,35460753,10.1016/j.ijbiomac.2022.04.096
7f5h,3.0,x-ray diffraction,VHH,2021-06-22,C,N.A.,A,protein,1.56,1.56,8.806875401645538,False,BLI,303,35722331,10.3389/fmicb.2022.875840
7f5h,3.0,x-ray diffraction,VHH,2021-06-22,D,N.A.,B,protein,1.56,1.56,8.806875401645538,False,BLI,303,35722331,10.3389/fmicb.2022.875840
7f6y,3.0,x-ray diffraction,FabH:FabL,2021-06-26,H,L,R,protein,1,1.0,9.0,False,SPR,N.A.,34480123,10.1038/s41422-021-00554-1
7f6z,3.0,x-ray diffraction,FabH:FabL,2021-06-26,H,L,R,protein,1.42,1.42,8.847711655616944,False,SPR,N.A.,34480123,10.1038/s41422-021-00554-1
7fat,1.99,x-ray diffraction,VHH,2021-07-07,B,N.A.,A,protein,0.74,0.74,9.130768280269024,False,BLI,N.A.,N.A.,10.1016/j.str.2022.02.011
7fau,2.08,x-ray diffraction,VHH,2021-07-07,D,N.A.,C,protein,6.76,6.76,8.170053304058364,False,BLI,N.A.,35276082,10.1016/j.str.2022.02.011
7fau,2.08,x-ray diffraction,VHH,2021-07-07,B,N.A.,A,protein,6.76,6.76,8.170053304058364,False,BLI,N.A.,35276082,10.1016/j.str.2022.02.011
7fcp,2.4,x-ray diffraction,FabH:FabL,2021-07-15,B,D,A,protein,<0.004585,0.004585,11.33866065999396,True,SPR,N.A.,35108220,10.1172/JCI154987
7fcp,2.4,x-ray diffraction,FabH:FabL,2021-07-15,H,L,A,protein,0.55,0.55,9.259637310505756,False,SPR,N.A.,35108220,10.1172/JCI154987
7fcq,1.89,x-ray diffraction,FabH:FabL,2021-07-15,H,L,A,protein,0.55,0.55,9.259637310505756,False,SPR,N.A.,35108220,10.1172/JCI154987
7jmo,2.36,x-ray diffraction,FabH:FabL,2020-08-02,H,L,A,protein,39.6,39.6,7.402304814074488,False,BLI,N.A.,33027617,10.1016/j.celrep.2020.108274
7jmp,1.71,x-ray diffraction,FabH:FabL,2020-08-02,H,L,A,protein,20.9,20.9,7.679853713888946,False,BLI,N.A.,33027617,10.1016/j.celrep.2020.108274
7jmw,2.89,x-ray diffraction,FabH:FabL,2020-08-03,H,L,A,protein,46,46.0,7.337242168318426,False,BLI,N.A.,33242394,10.1016/j.immuni.2020.10.023
7jn5,2.71,x-ray diffraction,FabH:FabL,2020-08-03,H,L,F,protein,1,1.0,9.0,False,BLI,N.A.,33275640,10.1371/journal.ppat.1009089
7joo,2.4,x-ray diffraction,FabH:FabL,2020-08-06,H,L,C,protein,2,2.0,8.698970004336019,False,BLI,N.A.,33033255,10.1038/s41467-020-18828-4
7jtg,2.6,x-ray diffraction,FabH:FabL,2020-08-17,A,B,E,protein,23.3,23.3,7.632644078973981,False,BLI,303,N.A.,N.A.
7jtr,2.5,x-ray diffraction,scFv,2020-08-18,F,N.A.,E,protein,9.73,9.73,8.011887159731648,False,SPR,277,33896065,10.1002/pro.4088
7jtr,2.5,x-ray diffraction,scFv,2020-08-18,H,N.A.,G,protein,9.73,9.73,8.011887159731648,False,SPR,277,33896065,10.1002/pro.4088
7jtr,2.5,x-ray diffraction,scFv,2020-08-18,D,N.A.,C,protein,9.73,9.73,8.011887159731648,False,SPR,277,33896065,10.1002/pro.4088
7jtr,2.5,x-ray diffraction,scFv,2020-08-18,B,N.A.,A,protein,9.73,9.73,8.011887159731648,False,SPR,277,33896065,10.1002/pro.4088
7jum,2.0,x-ray diffraction,scFv,2020-08-20,H,N.A.,A,protein,1.804,1.804,8.743763466794077,False,BLI,N.A.,33741942,10.1038/s41467-021-21955-1
7jum,2.0,x-ray diffraction,scFv,2020-08-20,I,N.A.,B,protein,1.804,1.804,8.743763466794077,False,BLI,N.A.,33741942,10.1038/s41467-021-21955-1
7jum,2.0,x-ray diffraction,scFv,2020-08-20,J,N.A.,C,protein,1.804,1.804,8.743763466794077,False,BLI,N.A.,33741942,10.1038/s41467-021-21955-1
7jv6,3.0,electron microscopy,VH:VL,2020-08-20,H,L,A,protein,119,119.0,6.924453038607469,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7jv6,3.0,electron microscopy,VH:VL,2020-08-20,C,D,B,protein,119,119.0,6.924453038607469,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7jv6,3.0,electron microscopy,VH:VL,2020-08-20,F,G,E,protein,119,119.0,6.924453038607469,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7jx3,2.65,x-ray diffraction,FabH:FabL,2020-08-26,H,L,R,protein,1.1,1.1,8.958607314841775,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7jx3,2.65,x-ray diffraction,FabH:FabL,2020-08-26,C,D,R,protein,75,75.0,7.1249387366083,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7jx3,2.65,x-ray diffraction,FabH:FabL,2020-08-26,A,B,R,protein,0.3,0.3,9.522878745280337,False,SPR,298,32991844,10.1016/j.cell.2020.09.037
7k43,2.6,electron microscopy,VH:VL,2020-09-14,H,L,A;B,protein;protein,68,68.0,7.167491087293763,False,SPR,298,32972994,10.1126/science.abe3354
7k43,2.6,electron microscopy,VH:VL,2020-09-14,F,G,A;E,protein;protein,68,68.0,7.167491087293763,False,SPR,298,32972994,10.1126/science.abe3354
